#    distance           U_x           U_y           U_z             p
  1.78832e-18      0.234337       0.35894   5.14852e-20      -6.80867
  5.05051e-05      0.259907      0.353331   4.82097e-20       -6.8076
   0.00010101      0.285476      0.347722   4.49343e-20      -6.80653
  0.000151515      0.312288      0.341787   4.68927e-20      -6.80538
   0.00020202      0.339494      0.335749   5.05154e-20      -6.80421
  0.000252525        0.3667      0.329711    5.4138e-20      -6.80304
   0.00030303      0.406593      0.322235   5.50035e-20      -6.80127
  0.000353535      0.454658      0.313834    5.4093e-20      -6.79911
   0.00040404      0.502723      0.305433   5.31825e-20      -6.79696
  0.000454545      0.550788      0.297031    5.2272e-20       -6.7948
  0.000505051      0.598853       0.28863   5.13616e-20      -6.79265
  0.000555556      0.655256      0.279242   3.72219e-20      -6.79013
  0.000606061      0.720262      0.268834   9.43407e-21      -6.78723
  0.000656566      0.785268      0.258427  -1.83538e-20      -6.78433
  0.000707071       0.85219      0.247681  -5.04289e-20      -6.78132
  0.000757576      0.922803      0.236283  -9.07647e-20      -6.77809
  0.000808081      0.993416      0.224884    -1.311e-19      -6.77486
  0.000858586       1.07332      0.213332  -1.54184e-19      -6.77109
  0.000909091       1.16282      0.201621  -1.59455e-19      -6.76674
  0.000959596       1.25232       0.18991  -1.64726e-19       -6.7624
    0.0010101       1.34182      0.178199  -1.69997e-19      -6.75805
   0.00106061       1.43132      0.166488  -1.75268e-19      -6.75371
   0.00111111       1.53589      0.154177  -1.03188e-19      -6.74852
   0.00116162       1.64284      0.141771  -1.89536e-20       -6.7432
   0.00121212       1.74993      0.129346   6.46665e-20      -6.73786
   0.00126263       1.86704      0.115641   1.06652e-19      -6.73183
   0.00131313       1.98414      0.101937   1.48638e-19      -6.72579
   0.00136364       2.10663     0.0891254   1.72686e-19      -6.71972
   0.00141414       2.23611     0.0774768    1.7339e-19      -6.71359
   0.00146465       2.36559     0.0658283   1.74094e-19      -6.70746
   0.00151515       2.49507     0.0541797   1.74798e-19      -6.70134
   0.00156566       2.62812     0.0428235   1.64947e-19      -6.69514
   0.00161616        2.7722     0.0323716    1.2245e-19      -6.68872
   0.00166667       2.91628     0.0219196   7.99528e-20       -6.6823
   0.00171717        3.0696     0.0107408   5.53904e-20      -6.67533
   0.00176768       3.22758  -0.000805468   3.98908e-20      -6.66809
   0.00181818        3.3876    -0.0114569   2.69166e-20      -6.66086
   0.00186869       3.55182    -0.0202581    1.9164e-20      -6.65363
   0.00191919       3.71604    -0.0290594   1.14115e-20      -6.64641
    0.0019697       3.88026    -0.0378606   3.65886e-21      -6.63918
    0.0020202       4.05064    -0.0456135             0      -6.63175
   0.00207071       4.22651    -0.0524294             0      -6.62415
   0.00212121       4.40555    -0.0593698             0      -6.61639
   0.00217172       4.59812    -0.0668419             0      -6.60797
   0.00222222       4.79062    -0.0741088             0      -6.59959
   0.00227273       4.98215    -0.0785643             0      -6.59189
   0.00232323       5.17368    -0.0830198             0      -6.58419
   0.00237374       5.36522    -0.0874752             0      -6.57648
   0.00242424       5.56095     -0.090292   1.67024e-21      -6.56899
   0.00247475       5.75925    -0.0921115    4.3569e-21      -6.56162
   0.00252525       5.96524    -0.0939971   4.24343e-21      -6.55393
   0.00257576       6.17893    -0.0959487   1.32981e-21      -6.54592
   0.00262626       6.38973    -0.0963196             0      -6.53824
   0.00267677       6.59812    -0.0953632             0      -6.53084
   0.00272727        6.8065    -0.0944068             0      -6.52345
   0.00277778       7.01607    -0.0923271   1.30243e-22      -6.51611
   0.00282828       7.22769    -0.0882915   4.87291e-22      -6.50888
   0.00287879       7.43464    -0.0843487   5.61087e-22      -6.50179
   0.00292929       7.63482    -0.0805407   2.24511e-22      -6.49491
    0.0029798       7.82839    -0.0762817             0      -6.48856
    0.0030303       8.00874    -0.0711196             0       -6.4833
   0.00308081       8.18909    -0.0659575             0      -6.47803
   0.00313131       8.36944    -0.0607953             0      -6.47277
   0.00318182       8.53439    -0.0540193  -2.32074e-21      -6.46895
   0.00323232       8.69871    -0.0471779  -4.73558e-21      -6.46518
   0.00328283       8.85522    -0.0406771  -2.99698e-21      -6.46152
   0.00333333       9.01073    -0.0342203  -7.21943e-22      -6.45788
   0.00338384       9.13796    -0.0288981  -4.94319e-21      -6.45531
   0.00343434       9.25203    -0.0241032  -1.21842e-20      -6.45324
   0.00348485        9.3661    -0.0193084  -1.94252e-20      -6.45117
   0.00353535        9.4757    -0.0146877  -2.66689e-20      -6.44927
   0.00358586       9.54659    -0.0115716  -3.39367e-20      -6.44885
   0.00363636       9.61748   -0.00845538  -4.12044e-20      -6.44842
   0.00368687       9.68515   -0.00549244  -3.57619e-20      -6.44794
   0.00373737       9.75246   -0.00254638  -2.89199e-20      -6.44745
   0.00378788       9.80675  -0.000211031  -2.26058e-20      -6.44683
   0.00383838       9.85087    0.00164675  -1.67043e-20       -6.4461
   0.00388889       9.89498    0.00350453  -1.08028e-20      -6.44537
   0.00393939       9.93909    0.00536231  -4.90134e-21      -6.44464
    0.0039899       9.96375      0.006298  -4.18769e-21      -6.44367
    0.0040404       9.98229     0.0069432  -5.10838e-21      -6.44261
   0.00409091       10.0005     0.0075713  -5.27712e-21      -6.44156
   0.00414141       10.0181    0.00817586  -4.41082e-21      -6.44052
   0.00419192       10.0358    0.00878043  -3.54453e-21      -6.43948
   0.00424242       10.0478     0.0092147   2.65479e-21      -6.43852
   0.00429293       10.0595    0.00963707   9.22703e-21      -6.43756
   0.00434343       10.0712     0.0100594   1.57993e-20       -6.4366
   0.00439394       10.0828     0.0104818   2.23715e-20      -6.43564
   0.00444444       10.0885     0.0107191   3.69697e-20      -6.43467
   0.00449495       10.0935     0.0109349   5.24979e-20       -6.4337
   0.00454545       10.0984      0.011142   5.56713e-20      -6.43274
   0.00459596       10.1032     0.0113367   4.10664e-20       -6.4318
   0.00464646       10.1079     0.0115313   2.64615e-20      -6.43086
   0.00469697       10.1115     0.0116706   2.51123e-20      -6.42992
   0.00474747       10.1147      0.011793   2.77936e-20      -6.42899
   0.00479798       10.1179     0.0119154   3.04749e-20      -6.42806
   0.00484848       10.1211     0.0120378   3.31563e-20      -6.42713
   0.00489899       10.1235     0.0121244   3.50529e-20      -6.42616
   0.00494949       10.1251     0.0121711   3.60771e-20      -6.42515
        0.005       10.1266     0.0122179   3.71013e-20      -6.42413
