#           x           U_x           U_y           U_z
            0             0             0             0
  0.000362954    0.00157602   -0.00366672  -2.98406e-19
  0.000725907    0.00539839   -0.00591154   2.63959e-19
   0.00108886    0.00441195   -0.00404493  -1.12882e-20
   0.00145181    0.00867166   -0.00523467             0
   0.00181477     0.0107535   -0.00314779             0
   0.00217772    0.00637746  -0.000464142   9.15081e-21
   0.00254068     0.0112108  -0.000639115             0
   0.00290363      0.010006    0.00164946  -1.38294e-19
   0.00326658    0.00331956    0.00292128  -1.45786e-20
   0.00362954    0.00750866    0.00339321             0
   0.00399249    0.00402048    0.00456493             0
   0.00435544   -0.00243395     0.0046105  -8.88788e-21
    0.0047184   -0.00020992    0.00528693             0
   0.00508135   -0.00499751    0.00572413             0
   0.00544431    -0.0070601    0.00556629  -1.86366e-21
   0.00580726    -0.0102348    0.00601914    7.9526e-20
   0.00617021    -0.0158622    0.00626033             0
   0.00653317    -0.0155373    0.00623888             0
   0.00689612    -0.0218449    0.00648913             0
   0.00725907    -0.0235302    0.00658391             0
   0.00762203    -0.0281639    0.00672032             0
   0.00798498    -0.0348074    0.00695602             0
   0.00834793    -0.0267616    0.00690551   2.00736e-21
   0.00871089    -0.0417664    0.00719437   4.31148e-20
   0.00907384    -0.0490325    0.00743223             0
    0.0094368    -0.0490325    0.00743223             0
   0.00979975    -0.0565977    0.00766657             0
    0.0101627    -0.0369928    0.00755489   4.79964e-21
    0.0105257    -0.0644525    0.00789378             0
    0.0108886    -0.0725887    0.00810935             0
    0.0112516    -0.0725887    0.00810935             0
    0.0116145    -0.0809948    0.00830716             0
    0.0119775     -0.056784    0.00815189  -3.31682e-21
    0.0123404    -0.0896599    0.00847963             0
    0.0127034    -0.0852714    0.00851043   1.19249e-21
    0.0130663    -0.0985704    0.00861826             0
    0.0134293     -0.107711    0.00871451   2.50725e-20
    0.0137922    -0.0987416    0.00867161   1.99208e-20
    0.0141552     -0.117062    0.00876233  -2.39766e-20
    0.0145181    -0.0696134    0.00859811  -2.07276e-22
    0.0148811     -0.126605     0.0087601   2.30158e-20
    0.0152441     -0.119088    0.00870303   1.65652e-20
     0.015607     -0.136318     0.0087165   2.21713e-20
      0.01597     -0.146186    0.00865439             0
    0.0163329     -0.146186    0.00865439             0
    0.0166959     -0.156207     0.0086204             0
    0.0170588     -0.121475    0.00875071  -4.72378e-22
    0.0174218     -0.166409    0.00869568  -2.02001e-20
    0.0177847     -0.103282    0.00899752  -6.10271e-21
    0.0181477     -0.176832    0.00901476  -1.97049e-20
    0.0185106     -0.150812     0.0094654  -1.77281e-21
    0.0188736     -0.187488    0.00966191             0
    0.0192365      -0.19837     0.0106915             0
    0.0195995      -0.19837     0.0106915             0
    0.0199625     -0.209479     0.0123853  -1.85289e-20
    0.0203254     -0.209479     0.0123853  -1.85289e-20
    0.0206884      -0.22092     0.0146349             0
    0.0210513      -0.20961     0.0142129             0
    0.0214143     -0.232814     0.0170043             0
    0.0217772     -0.194658      0.015036   2.53042e-22
    0.0221402     -0.245154     0.0205857   1.77257e-20
    0.0225031     -0.182055     0.0158714   7.20486e-21
    0.0228661     -0.257988     0.0241601             0
     0.023229     -0.172309     0.0158657   2.96468e-21
     0.023592     -0.271939     0.0263741   1.76193e-20
    0.0239549     -0.165879     0.0156971   6.26431e-21
    0.0243179     -0.286311      0.032587   3.81249e-20
    0.0246809     -0.166152     0.0148287   1.58074e-21
    0.0250438     -0.301729     0.0245385             0
    0.0254068     -0.179989      0.011473             0
    0.0257697     -0.316988    0.00747084             0
    0.0261327     -0.187431    0.00981289  -5.70264e-21
    0.0264956     -0.328314    0.00877182             0
    0.0268586     -0.188189       0.01054  -1.17787e-20
    0.0272215     -0.341375     0.0114877             0
    0.0275845     -0.204216     0.0111451  -1.07984e-20
    0.0279474     -0.355798     0.0127564             0
    0.0283104     -0.231386     0.0115754   1.82588e-21
    0.0286733     -0.370769     0.0126259   4.18597e-20
    0.0290363     -0.267067     0.0117512   2.17915e-20
