#           y           U_x           U_y           U_z
      -0.0254             0             0             0
   -0.0251447     -0.219063     0.0148494             0
   -0.0248894     -0.437719     0.0297108             0
   -0.0246342     -0.656375     0.0445721             0
   -0.0243789     -0.875031     0.0594334             0
   -0.0241236     -0.962741     0.0725275             0
   -0.0238683     -0.986068     0.0847365             0
   -0.0236131       -1.0094     0.0969456             0
   -0.0233578      -1.03272      0.109155             0
   -0.0231025      -1.04709       0.12168             0
   -0.0228472      -1.04398      0.134805             0
    -0.022592      -1.04087       0.14793             0
   -0.0223367      -1.03776      0.161055             0
   -0.0220814      -1.03459      0.174162             0
   -0.0218261      -1.02404      0.184743             0
   -0.0215709      -1.01349      0.195323             0
   -0.0213156      -1.00295      0.205903             0
   -0.0210603     -0.992398      0.216484             0
    -0.020805     -0.979613      0.226245             0
   -0.0205497     -0.965755      0.235611             0
   -0.0202945     -0.951898      0.244977             0
   -0.0200392      -0.93804      0.254344             0
   -0.0197839     -0.923471      0.263324             0
   -0.0195286     -0.907546      0.271565             0
   -0.0192734     -0.891622      0.279807             0
   -0.0190181     -0.875698      0.288049             0
   -0.0187628     -0.859753      0.296278   1.06739e-22
   -0.0185075     -0.842328      0.303462     1.109e-20
   -0.0182523     -0.824903      0.310647   2.20733e-20
    -0.017997     -0.807478      0.317831   3.30565e-20
   -0.0177417     -0.790053      0.325016   4.40398e-20
   -0.0174864     -0.771839       0.33151   3.33401e-20
   -0.0172312     -0.753258      0.337681   1.21456e-20
   -0.0169759     -0.734677      0.343852  -9.04893e-21
   -0.0167206     -0.716095      0.350023  -3.02434e-20
   -0.0164653     -0.697191      0.355845  -4.09958e-20
   -0.0162101     -0.677687      0.361015  -3.12765e-20
   -0.0159548     -0.658184      0.366185  -2.15572e-20
   -0.0156995      -0.63868      0.371356  -1.18379e-20
   -0.0154442     -0.619162      0.376508  -1.79713e-21
   -0.0151889     -0.598905       0.38067   1.93428e-20
   -0.0149337     -0.578648      0.384833   4.04828e-20
   -0.0146784     -0.558391      0.388995   6.16227e-20
   -0.0144231     -0.538134      0.393158   8.27627e-20
   -0.0141678     -0.517441      0.396611   6.84077e-20
   -0.0139126     -0.496552      0.399741   3.75581e-20
   -0.0136573     -0.475662      0.402871   6.70852e-21
    -0.013402     -0.454773      0.406002  -2.41411e-20
   -0.0131467      -0.43368       0.40875  -4.42154e-20
   -0.0128915     -0.412222      0.410804  -4.39259e-20
   -0.0126362     -0.390765      0.412859  -4.36365e-20
   -0.0123809     -0.369307      0.414914   -4.3347e-20
   -0.0121256     -0.347833      0.416942  -4.29008e-20
   -0.0118704     -0.325782       0.41785  -4.34512e-20
   -0.0116151     -0.303731      0.418758  -4.40017e-20
   -0.0113598      -0.28168      0.419666  -4.45522e-20
   -0.0111045     -0.259629      0.420574  -4.51026e-20
   -0.0108492     -0.237036      0.420606  -3.76935e-20
    -0.010594     -0.214205      0.420249  -2.67169e-20
   -0.0103387     -0.191373      0.419892  -1.57404e-20
   -0.0100834     -0.168542      0.419536   -4.7638e-21
  -0.00982814     -0.145161      0.418645   6.08808e-21
  -0.00957286      -0.12081       0.41681   1.68526e-20
  -0.00931759    -0.0964599      0.414975   2.76172e-20
  -0.00906231    -0.0721094       0.41314   3.83817e-20
  -0.00880704    -0.0476955      0.411253   4.92338e-20
  -0.00855176     -0.021248      0.407657   6.49664e-20
  -0.00829648    0.00519952       0.40406    8.0699e-20
  -0.00804121      0.031647      0.400464   9.64316e-20
