#           x           U_x           U_y           U_z
            0             0             0             0
  0.000362954   7.84087e-06  -1.82424e-05  -1.48461e-21
  0.000725907   2.68576e-05  -2.94106e-05   1.31323e-21
   0.00108886   4.31426e-05  -2.60431e-05             0
   0.00145181   4.31426e-05  -2.60431e-05             0
   0.00181477   5.34999e-05  -1.56606e-05             0
   0.00217772    5.5775e-05  -3.17968e-06             0
   0.00254068    5.5775e-05  -3.17968e-06             0
   0.00290363   4.97811e-05   8.20629e-06  -6.88028e-22
   0.00326658   3.73565e-05   1.68817e-05             0
   0.00362954   3.73565e-05   1.68817e-05             0
   0.00399249   2.00024e-05   2.27111e-05             0
   0.00435544  -1.04438e-06   2.63031e-05             0
    0.0047184  -1.04438e-06   2.63031e-05             0
   0.00508135  -2.48632e-05   2.84782e-05             0
   0.00544431  -2.48632e-05   2.84782e-05             0
   0.00580726  -5.09193e-05    2.9946e-05   3.95652e-22
   0.00617021  -7.89163e-05   3.11459e-05             0
   0.00653317  -7.89163e-05   3.11459e-05             0
   0.00689612  -0.000108681   3.22842e-05             0
   0.00725907  -0.000140119   3.34344e-05             0
   0.00762203  -0.000140119   3.34344e-05             0
   0.00798498  -0.000173171   3.46071e-05             0
   0.00834793  -0.000173171   3.46071e-05             0
   0.00871089  -0.000207793   3.57929e-05   2.14501e-22
   0.00907384  -0.000243943   3.69763e-05             0
    0.0094368  -0.000243943   3.69763e-05             0
   0.00979975   -0.00028158   3.81422e-05             0
    0.0101627   -0.00028158   3.81422e-05             0
    0.0105257  -0.000320659   3.92726e-05             0
    0.0108886  -0.000361138    4.0345e-05             0
    0.0112516  -0.000361138    4.0345e-05             0
    0.0116145  -0.000402959   4.13292e-05             0
    0.0119775  -0.000402959   4.13292e-05             0
    0.0123404  -0.000446069   4.21872e-05             0
    0.0127034    -0.0004904   4.28769e-05             0
    0.0130663    -0.0004904   4.28769e-05             0
    0.0134293  -0.000535874   4.33557e-05   1.24739e-22
    0.0137922  -0.000535874   4.33557e-05   1.24739e-22
    0.0141552  -0.000582397   4.35937e-05  -1.19287e-22
    0.0145181  -0.000582397   4.35937e-05  -1.19287e-22
    0.0148811  -0.000629875   4.35826e-05   1.14506e-22
    0.0152441    -0.0006782   4.33657e-05   1.10305e-22
     0.015607    -0.0006782   4.33657e-05   1.10305e-22
      0.01597  -0.000727292   4.30567e-05             0
    0.0163329  -0.000727292   4.30567e-05             0
    0.0166959  -0.000777147   4.28876e-05             0
    0.0170588  -0.000777147   4.28876e-05             0
    0.0174218  -0.000827905   4.32621e-05  -1.00498e-22
    0.0177847  -0.000879759   4.48496e-05  -9.80345e-23
    0.0181477  -0.000879759   4.48496e-05  -9.80345e-23
    0.0185106  -0.000932777   4.80692e-05             0
    0.0188736  -0.000932777   4.80692e-05             0
    0.0192365  -0.000986914   5.31914e-05             0
    0.0195995  -0.000986914   5.31914e-05             0
    0.0199625   -0.00104218   6.16183e-05  -9.21837e-23
    0.0203254   -0.00104218   6.16183e-05  -9.21837e-23
    0.0206884    -0.0010991   7.28105e-05             0
    0.0210513    -0.0010991   7.28105e-05             0
    0.0214143   -0.00115828   8.45984e-05             0
    0.0217772   -0.00115828   8.45984e-05             0
    0.0221402   -0.00121967   0.000102416   8.81875e-23
    0.0225031   -0.00121967   0.000102416   8.81875e-23
    0.0228661   -0.00128352   0.000120199             0
     0.023229   -0.00128352   0.000120199             0
     0.023592   -0.00135293   0.000131215   8.76581e-23
    0.0239549   -0.00135293   0.000131215   8.76581e-23
    0.0243179   -0.00142443   0.000162124   1.89676e-22
    0.0246809   -0.00150114   0.000122082             0
    0.0250438   -0.00150114   0.000122082             0
    0.0254068   -0.00157705   3.71684e-05             0
    0.0257697   -0.00157705   3.71684e-05             0
    0.0261327    -0.0016334   4.36409e-05             0
    0.0264956    -0.0016334   4.36409e-05             0
    0.0268586   -0.00169839   5.71528e-05             0
    0.0272215   -0.00169839   5.71528e-05             0
    0.0275845   -0.00169839   5.71528e-05             0
    0.0279474   -0.00177014   6.34647e-05             0
    0.0283104   -0.00177014   6.34647e-05             0
    0.0286733   -0.00184462   6.28154e-05   2.08257e-22
    0.0290363   -0.00184462   6.28154e-05   2.08257e-22
    0.0293992   -0.00191838   6.32206e-05   2.02323e-22
    0.0297622   -0.00191838   6.32206e-05   2.02323e-22
    0.0301252   -0.00199316   6.33815e-05   1.96753e-22
    0.0304881   -0.00199316   6.33815e-05   1.96753e-22
    0.0308511   -0.00206827   6.33106e-05             0
     0.031214   -0.00206827   6.33106e-05             0
     0.031577   -0.00214355   6.30375e-05   -1.8661e-22
    0.0319399   -0.00214355   6.30375e-05   -1.8661e-22
    0.0323029   -0.00221889   6.26427e-05             0
    0.0326658   -0.00221889   6.26427e-05             0
    0.0330288   -0.00229418   6.21643e-05   1.77664e-22
    0.0333917   -0.00229418   6.21643e-05   1.77664e-22
    0.0337547   -0.00236936   6.16337e-05   1.73584e-22
    0.0341176   -0.00236936   6.16337e-05   1.73584e-22
    0.0344806   -0.00236936   6.16337e-05   1.73584e-22
    0.0348436    -0.0024444   6.10655e-05             0
    0.0352065    -0.0024444   6.10655e-05             0
    0.0355695   -0.00251924   6.04706e-05             0
    0.0359324   -0.00251924   6.04706e-05             0
    0.0362954   -0.00259384   5.98542e-05             0
    0.0366583   -0.00259384   5.98542e-05             0
    0.0370213    -0.0026682   5.92192e-05   1.59407e-22
    0.0373842    -0.0026682   5.92192e-05   1.59407e-22
    0.0377472   -0.00274227   5.85661e-05             0
    0.0381101   -0.00274227   5.85661e-05             0
    0.0384731   -0.00274227   5.85661e-05             0
     0.038836   -0.00281601   5.78947e-05             0
     0.039199   -0.00281601   5.78947e-05             0
     0.039562   -0.00288941    5.7203e-05             0
    0.0399249   -0.00288941    5.7203e-05             0
    0.0402879   -0.00296242   5.64897e-05             0
    0.0406508   -0.00296242   5.64897e-05             0
    0.0410138   -0.00296242   5.64897e-05             0
    0.0413767     -0.003035   5.57518e-05             0
    0.0417397     -0.003035   5.57518e-05             0
    0.0421026   -0.00310713   5.49873e-05             0
    0.0424656   -0.00310713   5.49873e-05             0
    0.0428285   -0.00317874   5.41932e-05             0
    0.0431915   -0.00317874   5.41932e-05             0
    0.0435544   -0.00317874   5.41932e-05             0
    0.0439174   -0.00324979   5.33679e-05             0
    0.0442804   -0.00324979   5.33679e-05             0
    0.0446433   -0.00332022   5.25081e-05  -1.36107e-22
    0.0450063   -0.00332022   5.25081e-05  -1.36107e-22
    0.0453692   -0.00338997   5.16128e-05             0
    0.0457322   -0.00338997   5.16128e-05             0
    0.0460951   -0.00338997   5.16128e-05             0
    0.0464581   -0.00345901   5.06792e-05             0
     0.046821   -0.00345901   5.06792e-05             0
     0.047184   -0.00352726   4.97069e-05   1.30027e-22
    0.0475469   -0.00352726   4.97069e-05   1.30027e-22
    0.0479099   -0.00352726   4.97069e-05   1.30027e-22
    0.0482728   -0.00359463   4.86935e-05   1.28127e-22
    0.0486358   -0.00359463   4.86935e-05   1.28127e-22
    0.0489987   -0.00366109   4.76389e-05             0
    0.0493617   -0.00366109   4.76389e-05             0
    0.0497247   -0.00366109   4.76389e-05             0
    0.0500876   -0.00372657   4.65415e-05  -1.24485e-22
    0.0504506   -0.00372657   4.65415e-05  -1.24485e-22
    0.0508135   -0.00379097   4.54016e-05   1.22733e-22
    0.0511765   -0.00379097   4.54016e-05   1.22733e-22
    0.0515394   -0.00379097   4.54016e-05   1.22733e-22
    0.0519024   -0.00385423   4.42176e-05             0
    0.0522653   -0.00385423   4.42176e-05             0
    0.0526283   -0.00391627    4.2991e-05  -1.19346e-22
    0.0529912   -0.00391627    4.2991e-05  -1.19346e-22
    0.0533542   -0.00391627    4.2991e-05  -1.19346e-22
    0.0537171   -0.00397704   4.17204e-05             0
    0.0540801   -0.00397704   4.17204e-05             0
    0.0544431   -0.00397704   4.17204e-05             0
     0.054806   -0.00403643    4.0408e-05             0
     0.055169   -0.00403643    4.0408e-05             0
    0.0555319   -0.00409438    3.9053e-05   1.14493e-22
    0.0558949   -0.00409438    3.9053e-05   1.14493e-22
    0.0562578   -0.00409438    3.9053e-05   1.14493e-22
    0.0566208   -0.00415082   3.76571e-05             0
    0.0569837   -0.00415082   3.76571e-05             0
    0.0573467   -0.00273535   3.15229e-05  -2.58049e-23
    0.0577096   -0.00420565   3.62199e-05  -1.11365e-22
    0.0580726   -0.00420565   3.62199e-05  -1.11365e-22
    0.0584355   -0.00425881   3.47436e-05             0
    0.0587985   -0.00425881   3.47436e-05             0
    0.0591615   -0.00425881   3.47436e-05             0
    0.0595244   -0.00431022   3.32275e-05   1.08289e-22
    0.0598874   -0.00431022   3.32275e-05   1.08289e-22
    0.0602503   -0.00431022   3.32275e-05   1.08289e-22
    0.0606133   -0.00435978   3.16736e-05   1.06762e-22
    0.0609762   -0.00435978   3.16736e-05   1.06762e-22
    0.0613392   -0.00440743   3.00806e-05   1.05239e-22
    0.0617021   -0.00440743   3.00806e-05   1.05239e-22
    0.0620651   -0.00440743   3.00806e-05   1.05239e-22
     0.062428   -0.00445311   2.84499e-05   2.07432e-22
     0.062791   -0.00445311   2.84499e-05   2.07432e-22
    0.0631539   -0.00445311   2.84499e-05   2.07432e-22
    0.0635169    -0.0044967   2.67797e-05  -2.04378e-22
    0.0638798    -0.0044967   2.67797e-05  -2.04378e-22
    0.0642428    -0.0044967   2.67797e-05  -2.04378e-22
    0.0646058   -0.00453816   2.50691e-05             0
    0.0649687   -0.00453816   2.50691e-05             0
    0.0653317   -0.00453816   2.50691e-05             0
    0.0656946    -0.0045774   2.33125e-05             0
    0.0660576    -0.0045774   2.33125e-05             0
    0.0664205   -0.00461431   2.15048e-05             0
    0.0667835   -0.00461431   2.15048e-05             0
    0.0671464   -0.00461431   2.15048e-05             0
    0.0675094   -0.00464885   1.96349e-05  -1.91998e-22
    0.0678723   -0.00464885   1.96349e-05  -1.91998e-22
    0.0682353   -0.00464885   1.96349e-05  -1.91998e-22
    0.0685982   -0.00468088   1.76888e-05  -1.88833e-22
    0.0689612   -0.00468088   1.76888e-05  -1.88833e-22
    0.0693242   -0.00468088   1.76888e-05  -1.88833e-22
    0.0696871   -0.00471036   1.56494e-05   1.85634e-22
    0.0700501   -0.00471036   1.56494e-05   1.85634e-22
     0.070413   -0.00471036   1.56494e-05   1.85634e-22
     0.070776   -0.00473713   1.34972e-05             0
    0.0711389   -0.00473713   1.34972e-05             0
    0.0715019   -0.00473713   1.34972e-05             0
    0.0718648   -0.00476108   1.12123e-05  -1.79109e-22
    0.0722278   -0.00476108   1.12123e-05  -1.79109e-22
    0.0725907   -0.00476108   1.12123e-05  -1.79109e-22
    0.0729537   -0.00478206   8.78708e-06  -1.75778e-22
