#           x           U_x           U_y           U_z
            0             0             0             0
  0.000362954  -1.01651e-07   2.75147e-07  -1.93304e-21
  0.000725907  -1.12817e-06   8.05396e-07   2.62753e-21
   0.00108886  -2.75076e-06   1.18449e-06             0
   0.00145181  -2.75076e-06   1.18449e-06             0
   0.00181477  -4.61194e-06   1.50335e-06             0
   0.00217772  -6.35914e-06   1.67049e-06             0
   0.00254068  -6.35914e-06   1.67049e-06             0
   0.00290363  -7.78274e-06   1.58941e-06  -2.48689e-21
   0.00326658  -8.87414e-06   1.30786e-06             0
   0.00362954  -8.87414e-06   1.30786e-06             0
   0.00399249  -9.59398e-06   9.77987e-07             0
   0.00435544  -1.00157e-05   6.63295e-07             0
    0.0047184  -1.00157e-05   6.63295e-07             0
   0.00508135  -1.00135e-05   2.15925e-07             0
   0.00544431  -1.00135e-05   2.15925e-07             0
   0.00580726  -9.50669e-06  -2.48438e-07   2.46348e-21
   0.00617021  -8.47662e-06  -3.15628e-07             0
   0.00653317  -8.47662e-06  -3.15628e-07             0
   0.00689612  -6.89332e-06  -1.67987e-07             0
   0.00725907  -4.95744e-06  -3.84415e-07             0
   0.00762203  -4.95744e-06  -3.84415e-07             0
   0.00798498  -2.61692e-06  -9.60509e-07             0
   0.00834793  -2.61692e-06  -9.60509e-07             0
   0.00871089   1.82203e-07  -1.44863e-06   2.72505e-21
   0.00907384   3.50798e-06  -1.55524e-06             0
    0.0094368   3.50798e-06  -1.55524e-06             0
   0.00979975   7.45659e-06  -1.23062e-06             0
    0.0101627   7.45659e-06  -1.23062e-06             0
    0.0105257    1.2187e-05  -1.17655e-06             0
    0.0108886    1.7912e-05  -1.92025e-06             0
    0.0112516    1.7912e-05  -1.92025e-06             0
    0.0116145   2.46507e-05  -2.79665e-06             0
    0.0119775   2.46507e-05  -2.79665e-06             0
    0.0123404   3.19515e-05  -3.28708e-06             0
    0.0127034   3.95559e-05  -3.46941e-06             0
    0.0130663   3.95559e-05  -3.46941e-06             0
    0.0134293   4.66883e-05  -4.00716e-06   1.83201e-21
    0.0137922   4.66883e-05  -4.00716e-06   1.83201e-21
    0.0141552    5.3089e-05  -5.02194e-06  -1.76178e-21
    0.0145181    5.3089e-05  -5.02194e-06  -1.76178e-21
    0.0148811   5.82969e-05  -6.46118e-06    1.7091e-21
    0.0152441   6.28551e-05  -8.18429e-06   1.66785e-21
     0.015607   6.28551e-05  -8.18429e-06   1.66785e-21
      0.01597   6.72463e-05  -9.25008e-06             0
    0.0163329   6.72463e-05  -9.25008e-06             0
    0.0166959   7.14221e-05  -1.07842e-05             0
    0.0170588   7.14221e-05  -1.07842e-05             0
    0.0174218   7.44362e-05  -1.23095e-05   -1.5928e-21
    0.0177847   7.06781e-05  -1.38381e-05  -1.59837e-21
    0.0181477   7.06781e-05  -1.38381e-05  -1.59837e-21
    0.0185106   5.38229e-05  -1.17724e-05             0
    0.0188736   5.38229e-05  -1.17724e-05             0
    0.0192365   1.05189e-05   1.04911e-06             0
    0.0195995   1.05189e-05   1.04911e-06             0
    0.0199625   -7.2898e-05    2.7167e-05  -1.21231e-21
    0.0203254   -7.2898e-05    2.7167e-05  -1.21231e-21
    0.0206884   -0.00017588   5.90599e-05             0
    0.0210513   -0.00017588   5.90599e-05             0
    0.0214143  -0.000316062    0.00010521             0
    0.0217772  -0.000316062    0.00010521             0
    0.0221402  -0.000491054   0.000152553   3.61698e-22
    0.0225031  -0.000491054   0.000152553   3.61698e-22
    0.0228661  -0.000686815   0.000181277             0
     0.023229  -0.000686815   0.000181277             0
     0.023592  -0.000891435   0.000184811   2.29631e-22
    0.0239549  -0.000891435   0.000184811   2.29631e-22
    0.0243179   -0.00108061   0.000169295   3.94615e-22
    0.0246809   -0.00125115   0.000149152             0
    0.0250438   -0.00125115   0.000149152             0
    0.0254068   -0.00140531   0.000132149             0
    0.0257697   -0.00140531   0.000132149             0
    0.0261327   -0.00154512   0.000117466             0
    0.0264956   -0.00154512   0.000117466             0
    0.0268586    -0.0016723   0.000105156             0
    0.0272215    -0.0016723   0.000105156             0
    0.0275845    -0.0016723   0.000105156             0
    0.0279474   -0.00178873   9.49863e-05             0
    0.0283104   -0.00178873   9.49863e-05             0
    0.0286733   -0.00189622   8.66127e-05   2.47868e-22
    0.0290363   -0.00189622   8.66127e-05   2.47868e-22
    0.0293992   -0.00199628   7.97137e-05   2.37384e-22
    0.0297622   -0.00199628   7.97137e-05   2.37384e-22
    0.0301252   -0.00209021   7.40245e-05   2.28375e-22
    0.0304881   -0.00209021   7.40245e-05   2.28375e-22
    0.0308511   -0.00217912   6.93095e-05             0
     0.031214   -0.00217912   6.93095e-05             0
     0.031577   -0.00226389   6.53963e-05  -2.13505e-22
    0.0319399   -0.00226389   6.53963e-05  -2.13505e-22
    0.0323029    -0.0023452   6.21544e-05             0
    0.0326658    -0.0023452   6.21544e-05             0
    0.0330288    -0.0024238   5.95878e-05   2.01512e-22
    0.0333917    -0.0024238   5.95878e-05   2.01512e-22
    0.0337547   -0.00250025   5.75894e-05   1.96264e-22
    0.0341176   -0.00250025   5.75894e-05   1.96264e-22
    0.0344806   -0.00250025   5.75894e-05   1.96264e-22
    0.0348436   -0.00257497   5.59487e-05             0
    0.0352065   -0.00257497   5.59487e-05             0
    0.0355695   -0.00264827   5.45355e-05             0
    0.0359324   -0.00264827   5.45355e-05             0
    0.0362954   -0.00272041   5.33267e-05             0
    0.0366583   -0.00272041   5.33267e-05             0
    0.0370213    -0.0027916   5.22732e-05   1.78593e-22
    0.0373842    -0.0027916   5.22732e-05   1.78593e-22
    0.0377472   -0.00286202   5.13669e-05             0
    0.0381101   -0.00286202   5.13669e-05             0
    0.0384731   -0.00286202   5.13669e-05             0
     0.038836   -0.00293182    5.0585e-05             0
     0.039199   -0.00293182    5.0585e-05             0
     0.039562   -0.00300102   4.98899e-05             0
    0.0399249   -0.00300102   4.98899e-05             0
    0.0402879   -0.00306992   4.90089e-05             0
    0.0406508   -0.00306992   4.90089e-05             0
    0.0410138   -0.00306992   4.90089e-05             0
    0.0413767   -0.00313865   4.82977e-05             0
    0.0417397   -0.00313865   4.82977e-05             0
    0.0421026   -0.00320687   4.77812e-05             0
    0.0424656   -0.00320687   4.77812e-05             0
    0.0428285   -0.00327497   4.73208e-05             0
    0.0431915   -0.00327497   4.73208e-05             0
    0.0435544   -0.00327497   4.73208e-05             0
    0.0439174   -0.00334276   4.69039e-05             0
    0.0442804   -0.00334276   4.69039e-05             0
    0.0446433   -0.00341034   4.65238e-05  -1.54564e-22
    0.0450063   -0.00341034   4.65238e-05  -1.54564e-22
    0.0453692   -0.00347769   4.60108e-05             0
    0.0457322   -0.00347769   4.60108e-05             0
    0.0460951   -0.00347769   4.60108e-05             0
    0.0464581   -0.00354485   4.53422e-05             0
     0.046821   -0.00354485   4.53422e-05             0
     0.047184   -0.00361176   4.45391e-05   1.48434e-22
    0.0475469   -0.00361176   4.45391e-05   1.48434e-22
    0.0479099   -0.00361176   4.45391e-05   1.48434e-22
    0.0482728   -0.00367838    4.3613e-05   1.46538e-22
    0.0486358   -0.00367838    4.3613e-05   1.46538e-22
    0.0489987   -0.00374468    4.2555e-05             0
    0.0493617   -0.00374468    4.2555e-05             0
    0.0497247   -0.00374468    4.2555e-05             0
    0.0500876    -0.0038105   4.14747e-05  -1.42942e-22
    0.0504506    -0.0038105   4.14747e-05  -1.42942e-22
    0.0508135   -0.00387567   4.05144e-05   1.41241e-22
    0.0511765   -0.00387567   4.05144e-05   1.41241e-22
    0.0515394   -0.00387567   4.05144e-05   1.41241e-22
    0.0519024   -0.00394004   3.96564e-05             0
    0.0522653   -0.00394004   3.96564e-05             0
    0.0526283   -0.00400353   3.88152e-05  -1.38031e-22
    0.0529912   -0.00400353   3.88152e-05  -1.38031e-22
    0.0533542   -0.00400353   3.88152e-05  -1.38031e-22
    0.0537171   -0.00406609   3.79775e-05             0
    0.0540801   -0.00406609   3.79775e-05             0
    0.0544431   -0.00406609   3.79775e-05             0
     0.054806   -0.00412763   3.71289e-05             0
     0.055169   -0.00412763   3.71289e-05             0
    0.0555319   -0.00418807   3.62433e-05   1.33623e-22
    0.0558949   -0.00418807   3.62433e-05   1.33623e-22
    0.0562578   -0.00418807   3.62433e-05   1.33623e-22
    0.0566208   -0.00424735   3.52739e-05             0
    0.0569837   -0.00424735   3.52739e-05             0
    0.0573467    -0.0027772   3.20735e-05  -2.57207e-23
    0.0577096   -0.00430546   3.42237e-05  -1.30901e-22
    0.0580726   -0.00430546   3.42237e-05  -1.30901e-22
    0.0584355   -0.00436233   3.31228e-05             0
    0.0587985   -0.00436233   3.31228e-05             0
    0.0591615   -0.00436233   3.31228e-05             0
    0.0595244   -0.00441787   3.19883e-05   1.28297e-22
    0.0598874   -0.00441787   3.19883e-05   1.28297e-22
