#           x           U_x           U_y           U_z
            0             0             0             0
  0.000362954  -0.000311807   0.000755887  -3.68266e-19
  0.000725907  -0.000799773     0.0012645   1.80775e-20
   0.00108886   -0.00141523     0.0017315  -6.68928e-19
   0.00145181   -0.00221865    0.00182081   3.31281e-19
   0.00181477   -0.00294394    0.00185516   5.77815e-19
   0.00217772   -0.00354363    0.00181718   6.07643e-19
   0.00254068   -0.00415742    0.00157681   1.24289e-19
   0.00290363   -0.00455945    0.00138809  -5.13332e-19
   0.00326658   -0.00462454    0.00113622  -6.03845e-19
   0.00362954   -0.00485836   0.000901672  -1.04136e-18
   0.00399249    -0.0048233   0.000681049  -9.82035e-19
   0.00435544   -0.00401889   0.000393877  -6.61486e-19
    0.0047184   -0.00416733   0.000146584  -6.17176e-19
   0.00508135   -0.00374109  -0.000137854  -6.38947e-19
   0.00544431   -0.00252586  -0.000535342   -7.2532e-19
   0.00580726    -0.0023181  -0.000811276   1.08194e-20
   0.00617021   -0.00158316   -0.00103964   -3.9683e-20
   0.00653317  -0.000581204   -0.00130148  -2.39468e-21
   0.00689612   0.000316585   -0.00143008             0
   0.00725907    0.00130732   -0.00160925             0
   0.00762203    0.00240375   -0.00186842             0
   0.00798498    0.00346122   -0.00213345   1.45108e-20
   0.00834793    0.00515315   -0.00254338   5.25472e-20
   0.00871089    0.00589198   -0.00274082   3.75485e-19
   0.00907384    0.00717371   -0.00297948   8.67279e-20
    0.0094368    0.00867023     -0.003337    3.9621e-19
   0.00979975     0.0102212    -0.0035575   4.50346e-19
    0.0101627     0.0121958    -0.0042424   5.07889e-19
    0.0105257     0.0138683   -0.00434616   1.73177e-19
    0.0108886     0.0158934   -0.00479305   -3.8387e-20
    0.0112516     0.0182306   -0.00536196  -3.15466e-19
    0.0116145     0.0205892   -0.00574525  -3.69152e-19
    0.0119775     0.0226442   -0.00634517  -3.99176e-19
    0.0123404     0.0254686    -0.0061999   2.19216e-20
    0.0127034      0.027899   -0.00626224   3.37989e-19
    0.0130663     0.0300833   -0.00604742   3.65149e-19
    0.0134293     0.0321577    -0.0059203   5.03761e-19
    0.0137922      0.033862    -0.0055379    2.3851e-19
    0.0141552     0.0353279   -0.00541108  -2.01799e-19
    0.0145181      0.034042   -0.00510693  -1.46832e-20
    0.0148811     0.0370553   -0.00504944     2.041e-19
    0.0152441     0.0377077   -0.00508545   2.12613e-19
     0.015607     0.0368103   -0.00495075   2.00103e-19
      0.01597      0.036105   -0.00493046   5.02076e-21
    0.0163329      0.032863   -0.00459065   6.98733e-22
    0.0166959     0.0293142   -0.00355121   -6.3098e-21
    0.0170588     0.0211199  -0.000978114  -1.96411e-20
    0.0174218     0.0134011    0.00268634   -3.1905e-19
    0.0177847   -0.00526464    0.00961343  -3.41107e-19
    0.0181477    -0.0155336     0.0154727   -4.5251e-19
    0.0185106    -0.0307201     0.0218346  -2.65781e-19
    0.0188736    -0.0590501      0.034309  -8.59193e-20
    0.0192365    -0.0828876      0.043843  -1.07809e-20
    0.0195995     -0.118866     0.0579058  -8.12089e-20
    0.0199625     -0.152271     0.0697103  -2.38337e-19
    0.0203254     -0.193718     0.0840272  -2.38143e-19
    0.0206884     -0.232486     0.0962723  -7.74143e-20
    0.0210513      -0.27749      0.109984  -8.01854e-21
    0.0214143     -0.322451       0.12256   7.68062e-21
    0.0217772     -0.370343      0.134225   2.26725e-20
    0.0221402     -0.419372      0.143502   6.20128e-20
    0.0225031     -0.464045      0.149504    5.1816e-20
    0.0228661     -0.517275      0.152596   3.05922e-20
     0.023229     -0.548802      0.150364   4.32847e-20
     0.023592     -0.611408      0.149066   7.26423e-20
    0.0239549     -0.622172      0.140686   6.64519e-20
    0.0243179       -0.6974      0.137497   7.89814e-20
    0.0246809     -0.688357      0.127309   1.87233e-20
    0.0250438     -0.775737      0.123926   8.27697e-21
    0.0254068     -0.758837      0.115016             0
    0.0257697     -0.847457      0.111566  -2.39257e-20
    0.0261327     -0.819529        0.1039  -5.16028e-20
