#     point_x       point_y       point_z
      -0.0206             0       -0.0005
   -0.0190172             0       -0.0005
   -0.0190172             0        0.0005
      -0.0206             0        0.0005
   -0.0174976             0       -0.0005
   -0.0174976             0        0.0005
   -0.0160387             0       -0.0005
   -0.0160387             0        0.0005
   -0.0146381             0       -0.0005
   -0.0146381             0        0.0005
   -0.0132934             0       -0.0005
   -0.0132934             0        0.0005
   -0.0120025             0       -0.0005
   -0.0120025             0        0.0005
   -0.0107632             0       -0.0005
   -0.0107632             0        0.0005
  -0.00957337             0       -0.0005
  -0.00957337             0        0.0005
  -0.00843108             0       -0.0005
  -0.00843108             0        0.0005
  -0.00733443             0       -0.0005
  -0.00733443             0        0.0005
   -0.0062816             0       -0.0005
   -0.0062816             0        0.0005
  -0.00527083             0       -0.0005
  -0.00527083             0        0.0005
  -0.00430044             0       -0.0005
  -0.00430044             0        0.0005
  -0.00336883             0       -0.0005
  -0.00336883             0        0.0005
  -0.00247443             0       -0.0005
  -0.00247443             0        0.0005
  -0.00161577             0       -0.0005
  -0.00161577             0        0.0005
 -0.000791418             0       -0.0005
 -0.000791418             0        0.0005
            0             0       -0.0005
            0             0        0.0005
            0       -0.0254       -0.0005
            0       -0.0254        0.0005
            0    -0.0242711        0.0005
            0    -0.0242711       -0.0005
            0    -0.0231422        0.0005
            0    -0.0231422       -0.0005
            0    -0.0220133        0.0005
            0    -0.0220133       -0.0005
            0    -0.0208844        0.0005
            0    -0.0208844       -0.0005
            0    -0.0197556        0.0005
            0    -0.0197556       -0.0005
            0    -0.0186267        0.0005
            0    -0.0186267       -0.0005
            0    -0.0174978        0.0005
            0    -0.0174978       -0.0005
            0    -0.0163689        0.0005
            0    -0.0163689       -0.0005
            0      -0.01524        0.0005
            0      -0.01524       -0.0005
            0    -0.0141111        0.0005
            0    -0.0141111       -0.0005
            0    -0.0129822        0.0005
            0    -0.0129822       -0.0005
            0    -0.0118533        0.0005
            0    -0.0118533       -0.0005
            0    -0.0107244        0.0005
            0    -0.0107244       -0.0005
            0   -0.00959556        0.0005
            0   -0.00959556       -0.0005
            0   -0.00846667        0.0005
            0   -0.00846667       -0.0005
            0   -0.00726604        0.0005
            0   -0.00726604       -0.0005
            0   -0.00618989        0.0005
            0   -0.00618989       -0.0005
            0   -0.00522531        0.0005
            0   -0.00522531       -0.0005
