# x y z tau_x tau_y tau_z
-0.01980858154 0 0 -0.613735 -0.00209165 0
-0.018257364405 0 0 -0.600794 -0.00367036 0
-0.016768123535 0 0 -0.586154 -0.00393654 0
-0.015338382775 0 0 -0.571435 -0.00403773 0
-0.013965764895 0 0 -0.557427 -0.00413976 0
-0.012647987645 0 0 -0.543994 -0.00423108 0
-0.01138285996 0 0 -0.531006 -0.00431035 0
-0.0101682783205 0 0 -0.518447 -0.00437259 0
-0.0090022232415 0 0 -0.506341 -0.00442845 0
-0.0078827559255 0 0 -0.494723 -0.00447943 0
-0.006808015038 0 0 -0.483588 -0.00452366 0
-0.00577621361 0 0 -0.473008 -0.00454498 0
-0.0047856360675 0 0 -0.463013 -0.00454713 0
-0.0038346353795 0 0 -0.453721 -0.00450164 0
-0.0029216303195 0 0 -0.445226 -0.00441547 0
-0.0020451028365 0 0 -0.437747 -0.00421311 0
-0.0012035955311 0 0 -0.431431 -0.00400509 0
-0.0003957092306 0 0 -0.426634 -0.00326661 0
0 -0.024835555555 0 1.50363e-05 -1.96142e-05 4.08956e-20
0 -0.023706666665 0 2.84685e-05 -0.000108508 -1.28054e-19
0 -0.022577777775 0 2.15434e-05 -0.000199867 -2.42111e-24
0 -0.021448888885 0 2.51286e-05 -0.00025462 2.51034e-19
0 -0.02032 0 3.77131e-05 -0.000298055 -1.66805e-19
0 -0.019191111115 0 1.02979e-05 -0.000305287 0
0 -0.018062222225 0 -9.9809e-05 -0.000125091 0
0 -0.016933333335 0 -0.000207076 0.000481707 -2.96935e-19
0 -0.015804444445 0 -0.000402466 0.00155549 2.4499e-19
0 -0.014675555555 0 -0.000655363 0.00306807 0
0 -0.013546666665 0 -0.000797194 0.00474229 -1.72711e-19
0 -0.012417777775 0 -0.000761581 0.00611186 1.56738e-19
0 -0.011288888885 0 -0.000467825 0.00684581 0
0 -0.010159999998 0 -0.000142814 0.00690217 1.47681e-19
0 -0.0090311111115 0 0.00016728 0.00639683 -1.4895e-19
0 -0.0078663536585 0 0.000449238 0.0051989 0
0 -0.0067279650195 0 0.000638326 0.00341767 0
0 -0.0057075986845 0 0.000718189 0.00170981 0
0 -0.004793018706 0 0.000941804 -0.000108106 0
0 -0.0039732576955 0 0.00117608 -0.0020293 0
0 -0.003238485308 0 0.00163451 -0.00405153 0
0 -0.002579890359 0 0.00201333 -0.00652862 0
0 -0.001989575161 0 0.00259195 -0.00925911 0
0 -0.0014604608195 0 0.00337768 -0.0121712 0
0 -0.00098620234335 0 0.00535559 -0.0166131 0
0 -0.0005611125569 0 0.00325061 -0.0215933 0
0 -0.00018009390255 0 -0.0443549 -0.0551167 0
0.00026419364 -0.0254 0 -7.98386e-06 -1.71038e-05 1.91446e-20
0.000794634954 -0.0254 0 1.60989e-05 -5.07498e-05 -2.5549e-20
0.001329200305 -0.0254 0 5.04829e-05 -7.35008e-05 0
0.0018679217565 -0.0254 0 9.524e-05 -7.91134e-05 0
0.0024108316215 -0.0254 0 0.000143131 -7.41691e-05 0
0.0029579624635 -0.0254 0 0.000184084 -6.34685e-05 2.23711e-20
0.0035093470995 -0.0254 0 0.000217602 -4.89197e-05 0
0.004065018601 -0.0254 0 0.00024157 -2.82363e-05 0
0.0046250102975 -0.0254 0 0.000249604 -4.64601e-06 0
0.005189355778 -0.0254 0 0.000239638 1.61504e-05 0
0.0057580888915 -0.0254 0 0.000213333 3.17722e-05 -2.22165e-20
0.0063312437505 -0.0254 0 0.000180553 4.61807e-05 0
0.006908854733 -0.0254 0 0.000147853 4.75719e-05 0
0.007490956484 -0.0254 0 0.000112091 5.55644e-05 0
0.0080775839185 -0.0254 0 7.27436e-05 6.49314e-05 0
0.008668772222 -0.0254 0 2.6913e-05 6.74828e-05 -2.68818e-20
0.009264556854 -0.0254 0 -2.51995e-05 6.53477e-05 0
0.009864973551 -0.0254 0 -7.75851e-05 6.5709e-05 0
0.010470058325 -0.0254 0 -0.000134223 8.18845e-05 0
0.011079847465 -0.0254 0 -0.000203066 0.000106557 0
0.01169437755 -0.0254 0 -0.000285771 0.000125687 0
0.012313685445 -0.0254 0 -0.000376185 0.000134456 0
0.01293780829 -0.0254 0 -0.000459494 0.000145071 0
0.01356678352 -0.0254 0 -0.00053985 0.000149865 -1.71756e-20
0.01420064886 -0.0254 0 -0.00061463 0.000157603 1.64495e-20
0.01483944233 -0.0254 0 -0.00068552 0.000153552 -1.59088e-20
0.01548320225 -0.0254 0 -0.000737701 0.000160636 -1.54739e-20
