#           x           U_x           U_y           U_z
            0             0             0             0
  0.000362954    0.00596844    -0.0149901  -8.12491e-20
  0.000725907     0.0117266    -0.0202811    2.4123e-19
   0.00108886     0.0149618    -0.0181862  -7.47929e-20
   0.00145181     0.0187777    -0.0136141   3.88866e-20
   0.00181477     0.0204033    -0.0081733   6.69304e-20
   0.00217772     0.0186542   -0.00183701   7.03855e-20
   0.00254068     0.0179736    0.00384935  -2.67989e-20
   0.00290363      0.014571    0.00890152  -1.53193e-19
   0.00326658    0.00778889     0.0135633  -1.03029e-19
   0.00362954    0.00368243      0.017388   -9.2472e-20
   0.00399249   -0.00322891     0.0202778  -7.54422e-20
   0.00435544    -0.0132672     0.0226123  -4.88417e-20
    0.0047184    -0.0195932     0.0247457    -3.921e-20
   0.00508135    -0.0286089     0.0261873  -3.06995e-20
   0.00544431    -0.0383448      0.027477  -1.21589e-20
   0.00580726    -0.0484007      0.028625   6.00622e-20
   0.00617021    -0.0587608     0.0295249   2.24629e-20
   0.00653317    -0.0697882     0.0305501   1.35553e-21
   0.00689612    -0.0809569     0.0313044             0
   0.00725907    -0.0921245     0.0320508             0
   0.00762203     -0.104412     0.0329248             0
   0.00798498     -0.116457     0.0336174   3.41334e-21
   0.00834793     -0.123801     0.0343307   1.23606e-20
   0.00871089     -0.141675     0.0350929   3.71466e-20
   0.00907384     -0.154486     0.0357394   1.24139e-20
    0.0094368      -0.16791     0.0364842   2.03841e-20
   0.00979975     -0.181273     0.0370862   2.17845e-20
    0.0101627     -0.181511     0.0376086    2.4568e-20
    0.0105257     -0.208976     0.0383432   8.37704e-21
    0.0108886     -0.222964      0.038889  -1.96485e-21
    0.0112516     -0.237544     0.0395011  -1.61473e-20
    0.0116145     -0.251992     0.0399868  -1.88952e-20
    0.0119775     -0.254221      0.040414   -2.0432e-20
    0.0123404       -0.2818     0.0409596   1.23993e-21
    0.0127034     -0.296747     0.0413571   1.76082e-20
    0.0130663      -0.31234     0.0417885   2.15393e-20
    0.0134293     -0.327665     0.0420978    3.2198e-20
    0.0137922     -0.343566     0.0424572   1.58572e-20
    0.0141552     -0.359234     0.0426731  -1.36316e-20
    0.0145181     -0.345586     0.0428157  -4.83451e-22
    0.0148811     -0.391412     0.0430898   1.83359e-20
    0.0152441     -0.407403     0.0432051   2.16532e-20
     0.015607     -0.424156     0.0433861   1.82726e-20
      0.01597     -0.440418     0.0434659     3.663e-21
    0.0163329     -0.457443     0.0436458   5.09775e-22
    0.0166959     -0.473978     0.0437714  -1.28123e-21
    0.0170588     -0.484687     0.0440306  -3.98821e-21
    0.0174218     -0.508132     0.0443167  -2.33907e-20
    0.0177847     -0.489744     0.0448028  -2.58404e-20
    0.0181477      -0.54294     0.0453537  -3.06308e-20
    0.0185106     -0.560127     0.0461193  -1.80078e-20
    0.0188736     -0.578426     0.0470471  -5.82139e-21
    0.0192365     -0.595947     0.0482564  -3.35914e-22
    0.0195995     -0.614586     0.0495684  -2.53032e-21
    0.0199625     -0.632443     0.0514365  -1.33938e-20
    0.0203254     -0.651442     0.0531569  -1.33738e-20
    0.0206884     -0.669705      0.055526  -2.41665e-21
    0.0210513     -0.689093     0.0574109  -2.50315e-22
    0.0214143     -0.707793     0.0600795   9.54089e-22
    0.0217772     -0.727499     0.0623707   2.81639e-21
    0.0221402     -0.746572     0.0659583   1.23626e-20
    0.0225031     -0.750113     0.0673458   9.78036e-21
    0.0228661     -0.786067     0.0718646    8.8428e-21
     0.023229      -0.76909     0.0703941    1.7845e-20
     0.023592      -0.82644     0.0772795   2.92951e-20
    0.0239549     -0.791632     0.0747041   2.75075e-20
    0.0243179     -0.867034     0.0829333   3.56136e-20
    0.0246809     -0.821263      0.073405   7.94442e-21
    0.0250438     -0.908469     0.0716059   3.51197e-21
    0.0254068     -0.865226     0.0580463             0
    0.0257697     -0.949122     0.0519001  -1.37672e-20
    0.0261327     -0.901477     0.0491053  -2.96929e-20
    0.0264956     -0.986038     0.0500835  -4.02479e-20
    0.0268586     -0.929954     0.0524452   -5.9216e-20
    0.0272215      -1.02334     0.0542246  -5.26341e-20
    0.0275845     -0.974444     0.0553976  -5.71286e-20
    0.0279474      -1.06163     0.0565544  -2.28175e-20
    0.0283104      -1.03049     0.0564899   1.08811e-20
    0.0286733      -1.10007     0.0568161   4.71911e-20
    0.0290363      -1.09501     0.0565402   6.30443e-20
    0.0293992      -1.13804       0.05671   4.69701e-20
    0.0297622      -1.15679     0.0566137   1.73619e-20
    0.0301252      -1.17572     0.0565282   2.05937e-20
    0.0304881      -1.19431     0.0563625   2.82897e-20
    0.0308511      -1.21309     0.0562241   1.09493e-20
     0.031214      -1.23147     0.0560023   1.37811e-20
     0.031577      -1.25009     0.0558219  -9.32187e-21
    0.0319399      -1.26826     0.0555605  -2.29067e-20
    0.0323029      -1.28671     0.0553527  -6.71522e-21
    0.0326658      -1.30465      0.055066   3.58262e-21
    0.0330288      -1.32293     0.0548394   2.80901e-20
    0.0333917      -1.34063     0.0545366   4.52777e-20
    0.0337547      -1.33306     0.0540891   5.31899e-20
    0.0341176       -1.3762     0.0539847     5.158e-20
    0.0344806      -1.30387      0.053014   3.62417e-20
    0.0348436      -1.41134     0.0534176   1.75608e-20
    0.0352065      -1.42858     0.0530977   5.98274e-22
    0.0355695      -1.44606       0.05284             0
    0.0359324      -1.46305     0.0525152             0
    0.0362954      -1.48035     0.0522543   1.52299e-21
    0.0366583       -1.4971     0.0519257   5.65559e-21
    0.0370213      -1.51421     0.0516621   2.26215e-20
    0.0373842      -1.53071     0.0513298   2.25889e-20
    0.0377472      -1.48135     0.0505956   8.09695e-21
    0.0381101      -1.56388     0.0507275   1.36224e-20
    0.0384731      -1.57083     0.0503323   2.03561e-20
     0.038836      -1.59662     0.0501185   2.02175e-20
     0.039199       -1.6126     0.0497779   2.02422e-20
     0.039562      -1.62891     0.0495022   2.01428e-20
    0.0399249      -1.64464     0.0491567   1.98304e-20
    0.0402879      -1.66077     0.0488779   1.96577e-20
    0.0406508      -1.67622     0.0485267   1.96818e-20
    0.0410138      -1.61236     0.0477106   2.09004e-20
    0.0413767      -1.70736     0.0478872    5.1177e-21
    0.0417397      -1.72254     0.0475296  -1.48087e-20
    0.0421026      -1.73804     0.0472374  -1.91551e-20
    0.0424656      -1.75294     0.0468727  -1.91788e-20
    0.0428285      -1.76826     0.0465765  -1.83528e-20
    0.0431915      -1.78288     0.0462041   7.06118e-22
    0.0435544      -1.75628     0.0456088   1.92052e-20
    0.0439174      -1.81234     0.0455234   1.03865e-20
    0.0442804      -1.82666     0.0451428  -1.91488e-21
    0.0446433      -1.84133       0.04483  -2.04869e-20
    0.0450063      -1.85535     0.0444406  -2.97287e-20
    0.0453692      -1.77835     0.0436088  -2.63163e-20
    0.0457322      -1.88354      0.043725  -2.18787e-20
    0.0460951      -1.89725     0.0433265  -1.85426e-20
    0.0464581      -1.91125     0.0429958  -1.67008e-20
     0.046821      -1.92464     0.0425879  -1.38337e-20
     0.047184      -1.93846     0.0422529  -1.02401e-21
    0.0475469      -1.95152     0.0418354   1.04293e-20
    0.0479099      -1.96457      0.041418   2.18827e-20
    0.0482728      -1.97788     0.0410691    2.1068e-20
    0.0486358       -1.9906      0.040642   1.81887e-20
    0.0489987      -2.00374      0.040289   5.17114e-21
    0.0493617      -2.01612     0.0398522  -8.36598e-21
    0.0497247      -2.02849     0.0394155  -2.19031e-20
    0.0500876       -2.0411     0.0390489  -3.16264e-20
    0.0504506      -2.05312     0.0386026  -2.90094e-20
    0.0508135      -2.06556     0.0382323  -7.01165e-21
    0.0511765      -2.07721     0.0377767    3.5587e-21
    0.0515394      -2.08887      0.037321   1.41291e-20
    0.0519024      -2.10077     0.0369378   3.16648e-21
    0.0522653      -2.11205     0.0364729  -1.90357e-21
    0.0526283      -2.06231     0.0358079  -1.13318e-20
    0.0529912      -2.13468     0.0356127  -2.17816e-20
    0.0533542      -2.14557      0.035139  -2.91696e-20
    0.0537171      -2.15676     0.0347406  -2.09639e-20
    0.0540801      -2.16727     0.0342585  -1.85261e-20
    0.0544431      -2.08059     0.0334118  -1.72473e-20
     0.054806       -2.1884      0.033367  -9.26104e-21
     0.055169       -2.1985     0.0328769   3.58387e-22
    0.0555319      -2.20897     0.0324651   1.40517e-20
    0.0558949      -2.21867     0.0319673   1.40277e-20
    0.0562578      -2.22836     0.0314696   1.40037e-20
    0.0566208      -2.23827     0.0310482   6.32863e-21
    0.0569837      -2.24755     0.0305434   8.60341e-21
    0.0573467      -2.10058     0.0295178   1.12676e-20
    0.0577096      -2.26617     0.0296082   2.08568e-21
    0.0580726      -2.27503     0.0290968   2.12935e-21
    0.0584355      -2.28422     0.0286648   9.32752e-21
    0.0587985      -2.29265     0.0281473   4.73288e-22
    0.0591615      -2.30107     0.0276298  -8.38094e-21
    0.0595244       -2.3097     0.0271901  -1.33782e-21
    0.0598874      -2.31769     0.0266671   6.96044e-22
    0.0602503      -2.26568     0.0259693  -5.73896e-22
    0.0606133      -2.33372     0.0256975    1.1195e-20
    0.0609762      -2.34126     0.0251693   2.36857e-20
    0.0613392       -2.3088     0.0245891    3.0583e-20
    0.0617021      -2.35629     0.0241884   4.53813e-20
    0.0620651      -2.36338     0.0236555   5.93956e-20
     0.062428      -2.37074     0.0232014   6.85079e-20
     0.062791      -2.37737     0.0226642   4.47096e-20
    0.0631539      -2.38401      0.022127   2.09114e-20
    0.0635169      -2.39081     0.0216672  -1.98669e-20
    0.0638798      -2.39697     0.0211259  -3.56906e-20
    0.0642428      -2.40314     0.0205846  -5.15143e-20
    0.0646058      -2.40938     0.0201195  -2.91472e-20
    0.0649687      -2.41508     0.0195741  -1.36885e-20
    0.0653317      -2.32178     0.0188131             0
    0.0656946      -2.42645     0.0185577             0
    0.0660576      -2.43167     0.0180081             0
    0.0664205      -2.34833     0.0173121             0
    0.0667835      -2.44201     0.0169809   6.37574e-21
    0.0671464      -2.44676     0.0164266    1.3485e-20
    0.0675094       -2.4518     0.0159465   5.11882e-21
    0.0678723      -2.45606     0.0153863   1.71985e-21
    0.0682353      -2.46032     0.0148261  -1.67912e-21
    0.0685982      -2.46482     0.0143372  -3.65329e-21
    0.0689612      -2.46859     0.0137698  -7.20424e-21
    0.0693242      -2.47236     0.0132023  -1.07552e-20
    0.0696871      -2.47632     0.0127026   1.24364e-20
    0.0700501       -2.4796     0.0121263   1.58294e-20
     0.070413      -2.48288     0.0115501   1.92224e-20
     0.070776       -2.4863     0.0110372    4.6752e-21
    0.0711389      -2.48909     0.0104504  -1.14617e-20
    0.0715019      -2.49187    0.00986353  -2.75986e-20
    0.0718648      -2.49476    0.00933547  -4.55373e-20
    0.0722278      -2.49704     0.0087363  -4.86989e-20
    0.0725907      -2.49933    0.00813714  -5.18606e-20
    0.0729537      -2.50169    0.00759339  -4.99348e-20
    0.0733166      -2.50347    0.00698271  -4.03941e-20
    0.0736796      -2.50526    0.00637203  -3.08534e-20
    0.0740426      -2.50709    0.00581782  -2.61847e-20
    0.0744055      -2.50838    0.00520405   -2.3022e-20
    0.0747685      -2.50968    0.00459027  -1.98593e-20
    0.0751314        -2.511    0.00404058   -7.5541e-21
    0.0754944      -2.51179    0.00344388  -4.50224e-21
    0.0758573      -2.51259    0.00284717  -1.45038e-21
    0.0762203       -2.5134    0.00232508             0
    0.0765832      -2.51372     0.0017718             0
    0.0769462      -2.51403    0.00121851             0
    0.0773091      -2.51434   0.000743805  -2.84052e-22
    0.0776721      -2.51419   0.000239193  -3.07701e-21
     0.078035      -2.51404   -0.00026542  -5.86997e-21
     0.078398      -2.50858  -0.000698569   -1.6331e-20
     0.078761      -2.51332   -0.00117624  -1.66233e-20
    0.0791239      -2.51271   -0.00165338  -1.65901e-20
    0.0794869       -2.3977    -0.0020433  -8.19006e-21
    0.0798498      -2.51114   -0.00253258  -1.17138e-20
    0.0802128      -2.51007   -0.00299768  -1.62493e-20
    0.0805757      -2.48366   -0.00344312  -2.08696e-20
    0.0809387      -2.50765   -0.00385952  -2.38034e-20
    0.0813016      -2.50613   -0.00431596  -2.82811e-20
    0.0816646      -2.50461    -0.0047724  -3.27587e-20
    0.0820275      -2.50289   -0.00516517  -1.84108e-20
    0.0823905      -2.50092   -0.00561451  -4.55919e-21
    0.0827534      -2.49894   -0.00606384   9.29244e-21
    0.0831164      -2.49686   -0.00645292   8.07737e-21
    0.0834793      -2.49445   -0.00689523   1.24769e-20
    0.0838423      -2.49203   -0.00733754   1.68765e-20
    0.0842053       -2.4896   -0.00772307   1.96702e-20
    0.0845682      -2.48675   -0.00815818   2.15288e-20
    0.0849312      -2.48389   -0.00859329   2.33874e-20
    0.0852941      -2.36787   -0.00889129   2.61915e-20
    0.0856571      -2.47784   -0.00940302   3.16621e-20
      0.08602      -2.47454   -0.00983059    3.1659e-20
     0.086383      -2.47124    -0.0102582    3.1656e-20
    0.0867459      -2.46774    -0.0106291   2.35867e-20
    0.0871089      -2.46401    -0.0110489   2.08235e-20
    0.0874718      -2.46028    -0.0114686   1.80604e-20
